l,a1,a
308.9005236,1.828571429,182857.1429
310.9947644,1.8,180000
315.1832461,1.785714286,178571.4286
319.3717277,1.814285714,181428.5714
324.6073298,1.857142857,185714.2857
328.7958115,1.9,190000
334.0314136,1.9,190000
339.2670157,1.857142857,185714.2857
341.3612565,1.8,180000
343.4554974,1.742857143,174285.7143
345.5497382,1.671428571,167142.8571
347.6439791,1.6,160000
349.7382199,1.542857143,154285.7143
350.7853403,1.485714286,148571.4286
351.8324607,1.414285714,141428.5714
354.973822,1.342857143,134285.7143
357.0680628,1.285714286,128571.4286
359.1623037,1.228571429,122857.1429
360.2094241,1.157142857,115714.2857
364.3979058,1.071428571,107142.8571
365.4450262,1.014285714,101428.5714
367.539267,0.971428571,97142.8571
369.6335079,0.928571429,92857.1429
372.7748691,0.871428571,87142.8571
374.8691099,0.814285714,81428.5714
378.0104712,0.771428571,77142.8571
381.1518325,0.742857143,74285.7143
383.2460733,0.7,70000
387.434555,0.657142857,65714.2857
390.5759162,0.628571429,62857.1429
394.7643979,0.585714286,58571.4286
398.9528796,0.557142857,55714.2857
403.1413613,0.528571429,52857.1429
407.3298429,0.514285714,51428.5714
411.5183246,0.5,50000
415.7068063,0.485714286,48571.4286
419.895288,0.5,50000
419.895288,0.485714286,48571.4286
420.9424084,0.471428571,47142.8571
424.0837696,0.471428571,47142.8571
427.2251309,0.457142857,45714.2857
431.4136126,0.428571429,42857.1429
437.6963351,0.414285714,41428.5714
442.9319372,0.4,40000
447.1204188,0.385714286,38571.4286
452.3560209,0.371428571,37142.8571
458.6387435,0.357142857,35714.2857
464.921466,0.328571429,32857.1429
470.1570681,0.3,30000
475.3926702,0.3,30000
478.5340314,0.285714286,28571.4286
483.7696335,0.257142857,25714.2857
490.052356,0.242857143,24285.7143
495.2879581,0.228571429,22857.1429
499.4764398,0.214285714,21428.5714
505.7591623,0.185714286,18571.4286
512.0418848,0.171428571,17142.8571
517.2774869,0.157142857,15714.2857
521.4659686,0.142857143,14285.7143
526.7015707,0.142857143,14285.7143
532.9842932,0.128571429,12857.1429
539.2670157,0.114285714,11428.5714
545.5497382,0.114285714,11428.5714
552.8795812,0.1,10000
559.1623037,0.085714286,8571.4286
564.3979058,0.085714286,8571.4286
570.6806283,0.071428571,7142.8571
575.9162304,0.057142857,5714.2857
580.104712,0.057142857,5714.2857
585.3403141,0.057142857,5714.2857
591.6230366,0.057142857,5714.2857
597.9057592,0.042857143,4285.7143
603.1413613,0.042857143,4285.7143
607.3298429,0.042857143,4285.7143
614.6596859,0.028571429,2857.1429
620.9424084,0.028571429,2857.1429
627.2251309,0.028571429,2857.1429
633.5078534,0.014285714,1428.5714
638.7434555,0.014285714,1428.5714
643.9790576,0.014285714,1428.5714
649.2146597,0.014285714,1428.5714
653.4031414,0.014285714,1428.5714
657.591623,0.014285714,1428.5714
661.7801047,0.014285714,1428.5714
668.0628272,0.014285714,1428.5714
672.2513089,0.014285714,1428.5714
677.486911,0.014285714,1428.5714
681.6753927,0.014285714,1428.5714
685.8638743,0.014285714,1428.5714
691.0994764,0.014285714,1428.5714
696.3350785,0.014285714,1428.5714
701.5706806,0.014285714,1428.5714
705.7591623,0.014285714,1428.5714
